# W28E-614 §0B Preprod Estate Smoke — final
Generated: 2026-06-04T08:12:16+01:00
Image digest: sha256:f879eafd567d2059ee6a75e987397ccf4b6356188d1a51ae851c4b25fc85971d
Registry push digest: sha256:23f6b50edc49ea6fbab719385d5a511ed756a157ae94d09c5be49255418dfc57

service	host	endpoint	status_after	observed_image	verification_command	pass_fail
chat-client	chatclient0.cloud-dog.net	/health	HTTP 200	4f802bb38de1	curl -sk -m 5 https://chatclient0.cloud-dog.net/health	PASS
db-mcp	dbmcpserver0.cloud-dog.net	/health	HTTP 200	f1fb62e4f409	curl -sk -m 5 https://dbmcpserver0.cloud-dog.net/health	PASS
expert-agent	expertagent0.cloud-dog.net	/health	HTTP 200	d47bff868eb3	curl -sk -m 5 https://expertagent0.cloud-dog.net/health	PASS
file-mcp	filemcpserver0.cloud-dog.net	/health	HTTP 200	8380a5e20a60	curl -sk -m 5 https://filemcpserver0.cloud-dog.net/health	PASS
git-mcp	gitmcpserver0.cloud-dog.net	/health	HTTP 200	46c27a826a6d	curl -sk -m 5 https://gitmcpserver0.cloud-dog.net/health	PASS
imap-mcp	imapmcpserver0.cloud-dog.net	/health	HTTP 200	701ada55ab11	curl -sk -m 5 https://imapmcpserver0.cloud-dog.net/health	PASS
index-retriever	indexretriever0.cloud-dog.net	/health	HTTP 200	f879eafd567d	curl -sk -m 5 https://indexretriever0.cloud-dog.net/health	PASS
notification-agent	notificationagent0.cloud-dog.net	/health	HTTP 200	c10d495fb5ef	curl -sk -m 5 https://notificationagent0.cloud-dog.net/health	PASS
sql-agent	sqlagent0.cloud-dog.net	/health	HTTP 200	ac9b3c436223	curl -sk -m 5 https://sqlagent0.cloud-dog.net/health	PASS
